46346.126	-58
45481.918	-57
44601.964	-56
43708.193	-55
42802.522	-54
41886.847	-53
40963.034	-52
40032.913	-51
39098.273	-50
38160.854	-49
37222.345	-48
36284.376	-47
35348.517	-46
34416.272	-45
33489.076	-44
32568.296	-43
31655.224	-42
30751.079	-41
29857.002	-40
28974.058	-39
28103.237	-38
27245.449	-37
26401.526	-36
25572.225	-35
24758.226	-34
23960.135	-33
23178.483	-32
22413.729	-31
21666.264	-30
20936.410	-29
20224.421	-28
19530.491	-27
18854.753	-26
18197.280	-25
17558.093	-24
16937.160	-23
16334.402	-22
15749.692	-21
15182.864	-20
14633.713	-19
14101.999	-18
13587.448	-17
13089.763	-16
12608.618	-15
12143.669	-14
11694.551	-13
11260.887	-12
10842.289	-11
10438.358	-10
10048.694	-9
9672.890	-8
9310.543	-7
8961.251	-6
8624.619	-5
8300.257	-4
7987.786	-3
7686.838	-2
7397.056	-1
7118.099	0
6849.638	1
6591.360	2
6342.966	3
6104.175	4
5874.718	5
5654.341	6
5442.800	7
5239.866	8
5045.315	9
4858.931	10
4680.501	11
4509.812	12
4346.646	13
4190.775	14
4041.961	15
3899.944	16
3764.438	17
3635.126	18
3511.651	19
3393.611	20
3280.543	21
3171.922	22
3067.149	23
2965.537	24
2866.302	25
2768.552	26
2671.273	27
2573.316	28
2473.383	29
2370.008	30
