46402.04	-58
45518.62	-57
44621.41	-56
43712.14	-55
42792.56	-54
41864.38	-53
40929.30	-52
39988.99	-51
39045.10	-50
38099.21	-49
37152.90	-48
36207.66	-47
35264.97	-46
34326.22	-45
33392.78	-44
32465.92	-43
31546.89	-42
30636.84	-41
29736.89	-40
28848.06	-39
27971.33	-38
27107.60	-37
26257.69	-36
25422.39	-35
24602.37	-34
23798.27	-33
23010.66	-32
22240.03	-31
21486.81	-30
20751.37	-29
20034.01	-28
19334.97	-27
18654.45	-26
17992.58	-25
17349.41	-24
16724.99	-23
16119.27	-22
15532.19	-21
14963.62	-20
14413.39	-19
13881.31	-18
13367.14	-17
12870.59	-16
12391.36	-15
11929.13	-14
11483.52	-13
11054.16	-12
10640.64	-11
10242.55	-10
9859.45	-9
9490.91	-8
9136.46	-7
8795.65	-6
8468.03	-5
8153.12	-4
7850.47	-3
7559.62	-2
7280.12	-1
7011.53	0
6753.43	1
6505.38	2
6266.99	3
6037.87	4
5817.63	5
5605.92	6
5402.39	7
5206.73	8
5018.63	9
4837.79	10
4663.96	11
4496.87	12
4336.30	13
4182.02	14
4033.82	15
3891.52	16
3754.92	17
3623.85	18
3498.13	19
3377.59	20
3262.07	21
3151.37	22
3045.31	23
2943.67	24
2846.24	25
2752.76	26
2662.93	27
2576.44	28
2492.91	29
2411.92	30
