221 45.4 59.8
222 44.7 58.8
223 43.9 57.8
224 43.2 56.8
225 42.5 55.9
226 41.8 55.0
227 41.1 54.1
228 40.4 53.2
229 39.7 52.3
230 39.1 51.5
231 38.5 50.6
232 37.8 49.9
233 37.2 49.0
234 36.6 48.2
235 36.0 47.4
236 35.5 46.7
237 34.9 46.0
238 34.4 45.2
239 33.8 44.5
240 33.3 43.8
241 32.8 43.1
242 32.2 42.4
243 31.7 41.8
244 31.3 41.1
245 30.8 40.5
246 30.3 39.9
247 29.8 39.3
248 29.4 38.7
249 28.9 38.1
250 28.5 37.5
